club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
162,as-monaco,As Monaco,FR1,,28,23.7,28,100.0,11,Stade Louis-II,18523,+€73.50m,Philippe Clement,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162
1421,stade-reims,Stade Reims,FR1,,27,24.1,18,66.7,8,Stade Auguste-Delaune,21684,+€11.90m,Will Still,https://www.transfermarkt.co.uk/stade-reims/startseite/verein/1421
1041,olympique-lyon,Olympique Lyon,FR1,,27,25.0,9,33.3,3,Groupama Stadium,59186,+€36.90m,Laurent Blanc,https://www.transfermarkt.co.uk/olympique-lyon/startseite/verein/1041
14589,fk-orenburg,Fk Orenburg,RU1,,27,24.9,13,48.1,4,Gazovik,10046,€-3.99m,Marcel Licka,https://www.transfermarkt.co.uk/fk-orenburg/startseite/verein/14589
1186,torpedo-moskau,Torpedo Moskau,RU1,,27,27.3,10,37.0,3,Luzhniki Stadium,81000,€-1.72m,Andrey Talalaev,https://www.transfermarkt.co.uk/torpedo-moskau/startseite/verein/1186
826,rc-lens,Rc Lens,FR1,,25,25.4,16,64.0,11,Stade Bollaert-Delelis,38223,+€19.94m,Franck Haise,https://www.transfermarkt.co.uk/rc-lens/startseite/verein/826
3719,fk-khimki,Fk Khimki,RU1,,25,26.1,4,16.0,1,Arena Khimki,18636,€-122k,Spartak Gogniev,https://www.transfermarkt.co.uk/fk-khimki/startseite/verein/3719
11127,ural-ekaterinburg,Ural Ekaterinburg,RU1,,30,26.6,11,36.7,2,Yekaterinburg Arena,23000,€-680k,Viktor Goncharenko,https://www.transfermarkt.co.uk/ural-ekaterinburg/startseite/verein/11127
3725,akhmat-grozny,Akhmat Grozny,RU1,,27,26.1,6,22.2,3,Akhmat-Arena,30200,€-5.10m,Sergey Tashuev,https://www.transfermarkt.co.uk/akhmat-grozny/startseite/verein/3725
157,kaa-gent,Kaa Gent,BE1,,28,25.8,14,50.0,9,Ghelamco Arena,19999,€-4.65m,Hein Vanhaezebrouck,https://www.transfermarkt.co.uk/kaa-gent/startseite/verein/157
1082,losc-lille,Losc Lille,FR1,,25,24.9,16,64.0,9,Decathlon Arena-Stade Pierre-Mauroy,50186,+€73.50m,Paulo Fonseca,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
1083,fk-rostov,Fk Rostov,RU1,,26,24.3,3,11.5,8,Rostov Arena,45415,€-3.85m,Valeriy Karpin,https://www.transfermarkt.co.uk/fk-rostov/startseite/verein/1083
583,fc-paris-saint-germain,Fc Paris Saint Germain,FR1,,28,25.4,18,64.3,15,Parc des Princes,49691,€-93.20m,Christophe Galtier,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583
2410,zska-moskau,Zska Moskau,RU1,,27,24.2,10,37.0,7,VEB Arena,30114,€-4.32m,Vladimir Fedotov,https://www.transfermarkt.co.uk/zska-moskau/startseite/verein/2410
932,lokomotiv-moskau,Lokomotiv Moskau,RU1,,25,23.4,8,32.0,7,RZD Arena,27084,€-200k,Andrey Fedorov,https://www.transfermarkt.co.uk/lokomotiv-moskau/startseite/verein/932
232,spartak-moskau,Spartak Moskau,RU1,,26,24.7,7,26.9,12,Otkrytie Bank Arena,44571,€-419k,Guillermo Abascal,https://www.transfermarkt.co.uk/spartak-moskau/startseite/verein/232
121,dinamo-moskau,Dinamo Moskau,RU1,,22,24.5,8,36.4,9,VTB-Arena,25716,€-6.38m,Slavisa Jokanovic,https://www.transfermarkt.co.uk/dinamo-moskau/startseite/verein/121
964,zenit-st-petersburg,Zenit St Petersburg,RU1,,23,26.5,11,47.8,13,Gazprom Arena,63026,€-7.17m,Sergey Semak,https://www.transfermarkt.co.uk/zenit-st-petersburg/startseite/verein/964
16704,fk-krasnodar,Fk Krasnodar,RU1,,27,23.4,9,33.3,7,Stadion Krasnodar,35179,€-210k,Aleksandr Storozhuk,https://www.transfermarkt.co.uk/fk-krasnodar/startseite/verein/16704
2696,krylya-sovetov-samara,Krylya Sovetov Samara,RU1,,27,23.9,6,22.2,6,Solidarnost Samara Arena,42347,+€664k,Igor Osinjkin,https://www.transfermarkt.co.uk/krylya-sovetov-samara/startseite/verein/2696
1283,fc-emmen,Fc Emmen,NL1,,30,24.8,13,43.3,1,De Oude Meerdijk,8309,+-0,Dick Lukkien,https://www.transfermarkt.co.uk/fc-emmen/startseite/verein/1283
468,sparta-rotterdam,Sparta Rotterdam,NL1,,24,26.3,10,41.7,2,"Sparta-stadion ""Het Kasteel""",11026,+€1.69m,Maurice Steijn,https://www.transfermarkt.co.uk/sparta-rotterdam/startseite/verein/468
133,sc-cambuur-leeuwarden,Sc Cambuur Leeuwarden,NL1,,27,24.5,10,37.0,6,Cambuurstadion,10250,€-550k,Pascal Bosschaart,https://www.transfermarkt.co.uk/sc-cambuur-leeuwarden/startseite/verein/133
467,nec-nijmegen,Nec Nijmegen,NL1,,26,23.8,10,38.5,3,Goffertstadion,12500,€-1.00m,Rogier Meijer,https://www.transfermarkt.co.uk/nec-nijmegen/startseite/verein/467
1124,fakel-voronezh,Fakel Voronezh,RU1,,25,27.4,0,,0,Central Stadium of Profsoyuzes,21793,€-120k,Dmitriy Pyatibratov,https://www.transfermarkt.co.uk/fakel-voronezh/startseite/verein/1124
172,rsc-charleroi,Rsc Charleroi,BE1,,24,23.6,14,58.3,8,Stade du Pays de Charleroi,15000,+€7.20m,Frank Defays,https://www.transfermarkt.co.uk/rsc-charleroi/startseite/verein/172
306,sc-heerenveen,Sc Heerenveen,NL1,,22,23.8,11,50.0,2,Abe Lenstra Stadion,27224,€-1.85m,Kees van Wonderen,https://www.transfermarkt.co.uk/sc-heerenveen/startseite/verein/306
499,vitesse-arnheim,Vitesse Arnheim,NL1,,27,22.6,13,48.1,4,GelreDome,21248,€-1.20m,Phillip Cocu,https://www.transfermarkt.co.uk/vitesse-arnheim/startseite/verein/499
1158,fc-lorient,Fc Lorient,FR1,,27,24.1,13,48.1,8,Stade du Moustoir,19010,+€8.45m,Régis Le Bris,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158
1435,go-ahead-eagles-deventer,Go Ahead Eagles Deventer,NL1,,29,23.7,11,37.9,1,De Adelaarshorst,9909,+€750k,René Hake,https://www.transfermarkt.co.uk/go-ahead-eagles-deventer/startseite/verein/1435
1090,az-alkmaar,Az Alkmaar,NL1,,26,22.7,11,42.3,7,AFAS Stadion,19478,+€5.50m,Pascal Jansen,https://www.transfermarkt.co.uk/az-alkmaar/startseite/verein/1090
234,feyenoord-rotterdam,Feyenoord Rotterdam,NL1,,27,23.1,17,63.0,12,"Stadion Feyenoord ""De Kuip""",47500,+€31.63m,Arne Slot,https://www.transfermarkt.co.uk/feyenoord-rotterdam/startseite/verein/234
383,psv-eindhoven,Psv Eindhoven,NL1,,29,24.1,17,58.6,9,Philips Stadion,35000,+€4.50m,Ruud van Nistelrooy,https://www.transfermarkt.co.uk/psv-eindhoven/startseite/verein/383
610,ajax-amsterdam,Ajax Amsterdam,NL1,,27,24.8,11,40.7,17,Johan Cruijff ArenA,55600,+€111.12m,Alfred Schreuder,https://www.transfermarkt.co.uk/ajax-amsterdam/startseite/verein/610
202,fc-groningen,Fc Groningen,NL1,,26,23.0,13,50.0,3,Euroborg,22555,+€13.59m,Frank Wormuth,https://www.transfermarkt.co.uk/fc-groningen/startseite/verein/202
49702,fk-nizhny-novgorod,Fk Nizhny Novgorod,RU1,,27,24.7,5,18.5,2,Nizhny Novgorod Stadium,44242,€-550k,Mikhail Galaktionov,https://www.transfermarkt.co.uk/fk-nizhny-novgorod/startseite/verein/49702
41231,fk-sochi,Fk Sochi,RU1,,26,27.2,6,23.1,2,Fisht Olympic Stadium,45994,+€5.97m,Vadim Garanin,https://www.transfermarkt.co.uk/fk-sochi/startseite/verein/41231
7378,portimonense-sc,Portimonense Sc,PO1,,30,24.0,22,73.3,2,Portimonense Estádio,6000,+€10.60m,Paulo Sérgio,https://www.transfermarkt.co.uk/portimonense-sc/startseite/verein/7378
3268,casa-pia-ac,Casa Pia Ac,PO1,,30,26.6,21,70.0,6,Estádio Nacional do Jamor,41000,+€190k,Filipe Martins,https://www.transfermarkt.co.uk/casa-pia-ac/startseite/verein/3268
1301,cs-maritimo,Cs Maritimo,PO1,,31,25.3,19,61.3,4,Estádio do Marítimo,10932,€-50k,João Henriques,https://www.transfermarkt.co.uk/cs-maritimo/startseite/verein/1301
235,rkc-waalwijk,Rkc Waalwijk,NL1,,26,25.7,15,57.7,5,Mandemakers Stadion,7508,+€3.00m,Joseph Oosting,https://www.transfermarkt.co.uk/rkc-waalwijk/startseite/verein/235
1465,gd-estoril-praia,Gd Estoril Praia,PO1,,26,23.7,12,46.2,3,Estádio António Coimbra da Mota,8000,+€7.77m,Nélson Veríssimo,https://www.transfermarkt.co.uk/gd-estoril-praia/startseite/verein/1465
2424,gil-vicente-fc,Gil Vicente Fc,PO1,,28,25.5,19,67.9,3,Estádio Cidade de Barcelos,12046,+€5.35m,Sá Pereira,https://www.transfermarkt.co.uk/gil-vicente-fc/startseite/verein/2424
200,fc-utrecht,Fc Utrecht,NL1,,31,25.1,13,41.9,4,"Stadion ""Galgenwaard""",23750,+€8.80m,Henk Fraser,https://www.transfermarkt.co.uk/fc-utrecht/startseite/verein/200
2420,vitoria-guimaraes-sc,Vitoria Guimaraes Sc,PO1,,28,23.8,14,50.0,2,Estádio D. Afonso Henriques,29865,+€16.81m,Moreno,https://www.transfermarkt.co.uk/vitoria-guimaraes-sc/startseite/verein/2420
