Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2003-02-04;Monaco;2–0;Lyon;Relatório da Partida;2002;2;0
2003-02-05;Sedan;1–2;Auxerre;Relatório da Partida;2002;1;2
2003-02-05;Montpellier;2–1;Strasbourg;Relatório da Partida;2002;2;1
2003-02-05;Nantes;1–0;Rennes;Relatório da Partida;2002;1;0
2003-02-05;Marseille;2–0;Le Havre;Relatório da Partida;2002;2;0
2003-02-05;Troyes;1–0;Nice;Relatório da Partida;2002;1;0
2003-02-05;Bastia;1–0;Paris S-G;Relatório da Partida;2002;1;0
2003-02-05;Lens;3–3;Bordeaux;Relatório da Partida;2002;3;3
2003-02-08;Ajaccio;0–2;Marseille;Relatório da Partida;2002;0;2
2003-02-08;Strasbourg;3–1;Guingamp;Relatório da Partida;2002;3;1
2003-02-08;Bordeaux;0–2;Bastia;Relatório da Partida;2002;0;2
2003-02-08;Le Havre;2–1;Sedan;Relatório da Partida;2002;2;1
2003-02-08;Lyon;0–0;Troyes;Relatório da Partida;2002;0;0
2003-02-08;Paris S-G;1–3;Montpellier;Relatório da Partida;2002;1;3
2003-02-08;Rennes;0–0;Monaco;Relatório da Partida;2002;0;0
2003-02-08;Lille;0–2;Lens;Relatório da Partida;2002;0;2
2003-02-08;Nice;2–2;Sochaux;Relatório da Partida;2002;2;2
2003-02-09;Auxerre;0–1;Nantes;Relatório da Partida;2002;0;1
2003-02-15;Nantes;0–1;Sochaux;Relatório da Partida;2002;0;1
2003-02-19;Troyes;2–0;Lille;Relatório da Partida;2002;2;0
2003-02-22;Nantes;1–0;Ajaccio;Relatório da Partida;2002;1;0
2003-02-22;Bastia;1–1;Nice;Relatório da Partida;2002;1;1
2003-02-22;Guingamp;3–2;Paris S-G;Relatório da Partida;2002;3;2
2003-02-22;Lens;4–0;Montpellier;Relatório da Partida;2002;4;0
2003-02-22;Sochaux;1–0;Le Havre;Relatório da Partida;2002;1;0
2003-02-22;Sedan;0–1;Bordeaux;Relatório da Partida;2002;0;1
2003-02-22;Lyon;4–1;Rennes;Relatório da Partida;2002;4;1
