Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2013-04-06;Bastia;4–0;Brest;Relatório da Partida;2012;4;0
2013-04-06;Toulouse;3–4;Nice;Relatório da Partida;2012;3;4
2013-04-06;Rennes;0–2;Paris S-G;Relatório da Partida;2012;0;2
2013-04-06;Sochaux;0–0;Ajaccio;Relatório da Partida;2012;0;0
2013-04-07;Reims;1–0;Lyon;Relatório da Partida;2012;1;0
2013-04-07;Lille;5–0;Lorient;Relatório da Partida;2012;5;0
2013-04-07;Saint-Étienne;1–0;Evian;Relatório da Partida;2012;1;0
2013-04-12;Valenciennes;0–0;Saint-Étienne;Relatório da Partida;2012;0;0
2013-04-13;Lorient;4–1;Bastia;Relatório da Partida;2012;4;1
2013-04-13;Ajaccio;1–1;Nancy;Relatório da Partida;2012;1;1
2013-04-13;Bordeaux;4–2;Montpellier;Relatório da Partida;2012;4;2
2013-04-13;Troyes;0–1;Paris S-G;Relatório da Partida;2012;0;1
2013-04-13;Brest;0–2;Reims;Relatório da Partida;2012;0;2
2013-04-13;Evian;4–2;Rennes;Relatório da Partida;2012;4;2
2013-04-14;Lyon;3–1;Toulouse;Relatório da Partida;2012;3;1
2013-04-14;Lille;0–0;Marseille;Relatório da Partida;2012;0;0
2013-04-14;Nice;3–0;Sochaux;Relatório da Partida;2012;3;0
2013-04-19;Montpellier;1–2;Lyon;Relatório da Partida;2012;1;2
2013-04-20;Marseille;1–0;Brest;Relatório da Partida;2012;1;0
2013-04-21;Paris S-G;3–0;Nice;Relatório da Partida;2012;3;0
2013-04-21;Reims;0–1;Valenciennes;Relatório da Partida;2012;0;1
2013-04-21;Sochaux;2–2;Bordeaux;Relatório da Partida;2012;2;2
2013-04-21;Toulouse;0–1;Lorient;Relatório da Partida;2012;0;1
2013-04-21;Nancy;3–1;Evian;Relatório da Partida;2012;3;1
2013-04-21;Bastia;1–2;Lille;Relatório da Partida;2012;1;2
2013-04-24;Rennes;1–2;Troyes;Relatório da Partida;2012;1;2
2013-04-24;Saint-Étienne;4–2;Ajaccio;Relatório da Partida;2012;4;2
2013-04-26;Lille;3–3;Sochaux;Relatório da Partida;2012;3;3
2013-04-27;Bordeaux;0–0;Reims;Relatório da Partida;2012;0;0
2013-04-27;Valenciennes;0–0;Nancy;Relatório da Partida;2012;0;0
2013-04-27;Ajaccio;2–1;Montpellier;Relatório da Partida;2012;2;1
2013-04-27;Brest;0–2;Rennes;Relatório da Partida;2012;0;2
2013-04-27;Bastia;0–0;Toulouse;Relatório da Partida;2012;0;0
2013-04-27;Lorient;0–1;Marseille;Relatório da Partida;2012;0;1
2013-04-28;Evian;0–1;Paris S-G;Relatório da Partida;2012;0;1
