Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,qua,2020-09-30,21:30,Botafogo (RJ),1.8,1–2,1.9,Bahia,,Estádio Nilton Santos,Savio Pereira,Relatório da Partida,
,,,,,,,,,,,,,
13,sáb,2020-10-03,17:00,Grêmio,0.9,1–1,1.2,Internacional,,Arena do Grêmio,Raphael Claus,Relatório da Partida,
13,sáb,2020-10-03,19:00,Palmeiras,2.3,2–1,1.5,Ceará,,Allianz Parque,Bruno Arleu de Araujo,Relatório da Partida,
13,dom,2020-10-04,11:00,Botafogo (RJ),2.2,1–1,0.4,Fluminense,,Estádio Nilton Santos,Anderson Daronco,Relatório da Partida,
13,dom,2020-10-04,16:00,Coritiba,0.2,1–1,1.6,São Paulo,,Estádio Major Antônio Couto Pereira,Wagner do Nascimento Magalhaes,Relatório da Partida,
13,dom,2020-10-04,16:00,Flamengo,2.1,3–1,1.0,Atl Paranaense,,Estadio Jornalista Mário Filho,Rodrigo D'Alonso Ferreira,Relatório da Partida,
13,dom,2020-10-04,18:15,Goiás,1.2,2–3,2.4,Santos,,Estádio de Hailé Pinheiro,Marielson Alves Silva,Relatório da Partida,
13,dom,2020-10-04,18:15,Bahia,3.3,1–2,1.0,Sport Recife,,Estádio Governador Roberto Santos,Rafael Traci,Relatório da Partida,
13,dom,2020-10-04,18:15,Fortaleza,1.2,0–0,0.3,Atl Goianiense,,Estádio Castelão,Jose Mendonca da Silva Junior,Relatório da Partida,
13,dom,2020-10-04,20:30,Atlético Mineiro,3.0,4–1,0.3,Vasco da Gama,,Estádio Raimundo Sampaio,Leandro Pedro Vuaden,Relatório da Partida,
13,sáb,2020-10-03,21:00,Bragantino,0.6,0–0,0.4,Corinthians,,Estádio Nabi Abi Chedid,Edina Alves Batista,Relatório da Partida,
,,,,,,,,,,,,,
14,qua,2020-10-07,19:00,Corinthians,0.7,1–1,0.9,Santos,,Arena Corinthians,Marcelo de Lima Henrique,Relatório da Partida,
14,qua,2020-10-07,19:15,Flamengo,2.4,3–0,0.8,Sport Recife,,Estadio Jornalista Mário Filho,Caio Max Augusto Vieira,Relatório da Partida,
14,qua,2020-10-07,19:15,Grêmio,1.0,2–1,1.0,Coritiba,,Arena do Grêmio,Ramon Abatti Abel,Relatório da Partida,
14,qua,2020-10-07,19:15,Bahia,1.8,3–0,0.3,Vasco da Gama,,Estádio Governador Roberto Santos,Jean Pierre Goncalves Lima,Relatório da Partida,
14,qua,2020-10-07,20:30,Goiás,1.8,2–4,1.1,Fluminense,,Estádio de Hailé Pinheiro,Luiz Flávio de Oliveira,Relatório da Partida,
14,qua,2020-10-07,20:30,São Paulo,3.7,3–0,0.9,Atl Goianiense,,Estádio do Morumbi,Dyorgines José Padovani Andrade,Relatório da Partida,
14,qui,2020-10-08,19:00,Atl Paranaense,0.6,0–0,0.7,Ceará,,Estádio Joaquim Américo Guimarães,Wilton Sampaio,Relatório da Partida,
14,qua,2020-10-07,21:30,Fortaleza,0.9,2–1,1.7,Atlético Mineiro,,Estádio Castelão,Savio Pereira,Relatório da Partida,
14,qua,2020-10-07,21:30,Botafogo (RJ),1.8,2–1,2.4,Palmeiras,,Estádio Nilton Santos,Rodolpho Toski Marques,Relatório da Partida,
