;Class.;Jogador;Nação;Pos.;Equipe;Idade;Nascimento;90s;CrtsA;CrtV;2CrdY;Fts;FltsP;Desativado;Crz;Crts;TklW;Pênaltis convertidos;PKcon;OG;Recuperação;GanhosAereos;PerdasAereos;Ganhos%;Goleiro;Atacante;Lateral;Zagueiro;Tipo
533;534;Petterson;br BRA;ATLT;Flamengo;18;2004;0.3;0;0;0;1;0;0;1;0;0;0.0;0.0;0;1.0;0.0;1.0;0.0;0;1;1;0;Ataque
534;535;Yan Phillipe;br BRA;AT;Atlético Mineiro;18;2004;0.2;0;0;0;0;3;0;1;0;0;0.0;0.0;0;2.0;0.0;0.0;;0;1;0;0;Ataque
535;536;Lucas Piazon;br BRA;ATLT;Botafogo (RJ);28;1994;8.3;2;0;0;7;6;1;23;2;9;0.0;0.0;0;41.0;10.0;19.0;34.5;0;1;1;0;Ataque
536;537;Yago Pikachu;br BRA;ZGLT;Fortaleza;30;1992;13.4;3;0;0;12;30;2;48;5;9;0.0;0.0;0;82.0;4.0;14.0;22.2;0;0;1;1;Defesa
537;538;Mario Pineida;ec ECU;ZG;Fluminense;30;1992;3.7;0;0;0;7;6;0;9;2;2;0.0;0.0;0;12.0;5.0;1.0;83.3;0;0;0;1;Defesa
538;539;Joaquín Piquerez;uy URU;ZG;Palmeiras;24;1998;24.7;5;0;0;22;22;0;54;38;36;0.0;1.0;0;166.0;18.0;18.0;50.0;0;0;0;1;Defesa
539;540;Gabriel Pirani;br BRA;ATLT;Santos;20;2002;0.5;0;0;0;3;1;0;2;0;0;0.0;0.0;0;2.0;0.0;0.0;;0;1;1;0;Ataque
540;541;Gabriel Pirani;br BRA;LTAT;Cuiabá;20;2002;4.9;1;0;0;6;4;1;14;2;3;0.0;0.0;0;23.0;1.0;1.0;50.0;0;1;1;0;Ataque
541;542;Felipe Pires;br BRA;LTAT;Juventude;27;1995;6.7;4;0;0;14;14;3;9;0;1;0.0;0.0;0;22.0;2.0;3.0;40.0;0;1;1;0;Ataque
542;543;Rafael Pires;br BRA;G;Atlético Mineiro;33;1989;1.0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;2.0;0.0;0.0;;1;0;0;0;Defesa
543;544;Lucas Piton;br BRA;ZGAT;Corinthians;22;2000;19.7;2;0;0;40;10;1;86;32;23;0.0;0.0;0;92.0;23.0;27.0;46.0;0;1;0;1;Ataque
544;545;Isidro Pitta;py PAR;AT;Juventude;23;1999;26.8;2;0;0;27;51;18;31;4;6;0.0;0.0;0;51.0;35.0;59.0;37.2;0;1;0;0;Ataque
545;546;Luan Polli;br BRA;G;Atl Goianiense;29;1993;2.0;0;0;0;0;1;0;0;0;0;0.0;0.0;0;1.0;2.0;0.0;100.0;1;0;0;0;Defesa
546;547;Diego Porfirio;br BRA;ZG;Coritiba;23;1999;5.0;4;1;1;3;6;1;11;5;6;0.0;0.0;0;23.0;4.0;8.0;33.3;0;0;0;1;Defesa
547;548;William Pottker;br BRA;ATLT;Avaí;28;1993;21.9;6;0;0;23;50;12;55;17;11;4.0;1.0;0;117.0;26.0;49.0;34.7;0;1;1;0;Ataque
548;549;Bruno Praxedes;br BRA;LT;Bragantino;20;2002;6.5;3;0;0;13;19;2;13;4;3;0.0;0.0;0;40.0;2.0;10.0;16.7;0;0;1;0;Defesa
549;550;Erick Pulgar;cl CHI;LT;Flamengo;28;1994;2.9;1;0;0;8;2;0;2;2;3;0.0;0.0;0;19.0;7.0;4.0;63.6;0;0;1;0;Defesa
550;551;Jean Pyerre;br BRA;LT;Avaí;24;1998;8.4;2;0;0;4;13;1;26;7;4;0.0;0.0;0;51.0;7.0;7.0;50.0;0;0;1;0;Defesa
551;552;Du Queiroz;br BRA;LT;Corinthians;22;2000;26.9;4;0;0;47;9;1;18;33;27;0.0;0.0;0;152.0;12.0;17.0;41.4;0;0;1;0;Defesa
552;553;Igor Rabello;br BRA;ZG;Atlético Mineiro;27;1995;6.7;1;0;0;7;3;0;0;14;5;0.0;0.0;0;27.0;21.0;11.0;65.6;0;0;0;1;Defesa
553;554;Rafael;br BRA;ZG;Botafogo (RJ);32;1990;3.0;1;0;0;7;2;0;9;9;7;0.0;0.0;0;9.0;1.0;4.0;20.0;0;0;0;1;Defesa
554;555;Léo Rafael;br BRA;LT;Ceará;21;2001;0.1;0;0;0;0;0;0;1;0;0;0.0;0.0;0;0.0;0.0;0.0;;0;0;1;0;Defesa
555;556;Zé Rafael;br BRA;LT;Palmeiras;29;1993;27.7;11;1;1;48;62;1;13;27;28;0.0;0.0;0;224.0;32.0;17.0;65.3;0;0;1;0;Defesa
556;557;Rafinha;br BRA;ZG;São Paulo;37;1985;27.5;7;1;1;30;20;0;29;30;32;0.0;0.0;0;141.0;18.0;17.0;51.4;0;0;0;1;Defesa
557;558;Rafinha;au AUS;ATLT;Juventude;19;2002;3.9;0;0;0;3;1;0;5;4;2;0.0;0.0;0;13.0;4.0;3.0;57.1;0;1;1;0;Ataque
558;559;Eric Ramires;br BRA;LTAT;Bragantino;22;2000;12.9;1;2;0;18;11;0;13;4;16;1.0;1.0;0;86.0;5.0;21.0;19.2;0;1;1;0;Ataque
559;560;Ramon;br BRA;ZG;Bragantino;21;2001;7.5;2;1;0;11;7;0;30;11;9;0.0;0.0;0;53.0;8.0;11.0;42.1;0;0;0;1;Defesa
560;561;Lucas Ramos;br BRA;LTAT;Internacional;21;2001;0.6;0;0;0;1;4;0;1;2;0;0.0;0.0;0;5.0;1.0;1.0;50.0;0;1;1;0;Ataque
561;562;Rafael Ramos;pt POR;ZG;Corinthians;27;1995;14.0;3;0;0;21;14;0;36;18;23;0.0;0.0;0;79.0;8.0;24.0;25.0;0;0;0;1;Defesa
562;563;Raniele;br BRA;LTZG;Avaí;25;1996;31.3;9;0;0;38;87;0;13;39;33;3.0;0.0;0;139.0;70.0;56.0;55.6;0;0;1;1;Defesa
563;564;Wellington Rato;br BRA;ATLT;Atl Goianiense;30;1992;29.4;3;0;0;30;48;5;105;8;21;0.0;0.0;0;143.0;18.0;27.0;40.0;0;1;1;0;Ataque
564;565;Raul;br BRA;LT;Bragantino;26;1996;26.8;3;0;0;35;48;0;8;47;39;0.0;1.0;0;178.0;19.0;22.0;46.3;0;0;1;0;Defesa
565;566;Pedro Raul;br BRA;AT;Goiás;26;1996;29.6;7;0;0;47;30;19;7;4;9;0.0;0.0;0;58.0;94.0;131.0;41.8;0;1;0;0;Ataque
566;567;Leonardo Realpe;ec ECU;ZG;Bragantino;21;2001;6.4;3;0;0;6;2;0;2;15;3;0.0;0.0;0;47.0;10.0;11.0;47.6;0;0;0;1;Defesa
567;568;Régis;br BRA;LT;Coritiba;29;1992;7.2;2;0;0;14;9;1;27;1;7;1.0;0.0;0;24.0;3.0;15.0;16.7;0;0;1;0;Defesa
568;569;Reinaldo;br BRA;ZGAT;São Paulo;33;1989;16.1;3;0;0;16;12;1;138;9;12;0.0;0.0;0;79.0;7.0;10.0;41.2;0;1;0;1;Ataque
569;570;César Reis;br BRA;G;Juventude;27;1995;23.3;1;0;0;0;4;0;0;0;0;0.0;0.0;0;18.0;5.0;0.0;100.0;1;0;0;0;Defesa
570;571;Renan;br BRA;ZG;Bragantino;20;2002;3.2;1;0;0;2;1;0;0;2;3;0.0;0.0;1;22.0;3.0;7.0;30.0;0;0;0;1;Defesa
571;572;Robert Renan;br BRA;ZG;Corinthians;19;2003;8.0;2;0;0;5;2;0;0;16;7;0.0;0.0;0;32.0;7.0;15.0;31.8;0;0;0;1;Defesa
572;573;Renato;br BRA;ZGLT;Avaí;32;1990;11.3;2;0;0;11;25;5;63;8;9;0.0;0.0;0;53.0;19.0;27.0;41.3;0;0;1;1;Defesa
573;574;Renê;br BRA;ZG;Internacional;30;1992;26.5;0;0;0;20;26;0;39;51;49;0.0;1.0;0;177.0;22.0;20.0;52.4;0;0;0;1;Defesa
