Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Estágio de grupos,6,ter,2021-12-07,18:45 (14:45),Paris S-G fr,3.6,4–1,1.1,be Club Brugge,47.492,Parc des Princes,Jesús Gil,Relatório da Partida,
Estágio de grupos,6,ter,2021-12-07,18:45 (14:45),RB Leipzig de,1.7,2–1,1.2,eng Manchester City,,Red Bull Arena,Sandro Schärer,Relatório da Partida,
Estágio de grupos,6,ter,2021-12-07,20:00 (17:00),Porto pt,1.6,1–3,3.7,es Atlético Madrid,38.830,Estádio Do Dragão,Clément Turpin,Relatório da Partida,
Estágio de grupos,6,ter,2021-12-07,21:00 (17:00),Real Madrid es,1.2,2–0,0.9,it Inter,44.887,Estadio Santiago Bernabéu,Felix Brych,Relatório da Partida,
Estágio de grupos,6,ter,2021-12-07,21:00 (17:00),Dortmund de,3.5,5–0,0.1,tr Beşiktaş,15.000,Signal Iduna Park,François Letexier,Relatório da Partida,
Estágio de grupos,6,ter,2021-12-07,21:00 (17:00),Ajax nl,2.1,4–2,1.2,pt Sporting CP,,Johan Cruyff ArenA,Davide Massa,Relatório da Partida,
Estágio de grupos,6,ter,2021-12-07,21:00 (17:00),Milan it,1.4,1–2,1.9,eng Liverpool,56.237,Stadio Giuseppe Meazza,Danny Makkelie,Relatório da Partida,
Estágio de grupos,6,ter,2021-12-07,22:00 (17:00),Shakhtar ua,2.0,1–1,1.0,md Sheriff Tiraspol,6.841,Oblasny SportKomplex Metalist,Donatas Rumšas,Relatório da Partida,
Estágio de grupos,6,qua,2021-12-08,18:45 (14:45),Juventus it,2.1,1–0,0.2,se Malmö,17.501,Allianz Stadium,Irfan Peljto,Relatório da Partida,
Estágio de grupos,6,qua,2021-12-08,20:00 (17:00),Benfica pt,1.1,2–0,1.0,ua Dynamo Kyiv,36.591,Estádio do Sport Lisboa e Benfica,Deniz Aytekin,Relatório da Partida,
Estágio de grupos,6,qua,2021-12-08,20:00 (17:00),Manchester Utd eng,1.2,1–1,1.3,ch Young Boys,73.156,Old Trafford,Benoît Bastien,Relatório da Partida,
Estágio de grupos,6,qua,2021-12-08,20:45 (14:45),Zenit ru,2.6,3–3,2.7,eng Chelsea,29.349,Gazprom Arena,Serdar Gözübüyük,Relatório da Partida,
Estágio de grupos,6,qua,2021-12-08,21:00 (17:00),Bayern Munich de,2.4,3–0,0.4,es Barcelona,,Allianz Arena,Ovidiu Hațegan,Relatório da Partida,
Estágio de grupos,6,qua,2021-12-08,21:00 (17:00),Wolfsburg de,0.7,1–3,2.5,fr Lille,6.544,Volkswagen Arena,Daniele Orsato,Relatório da Partida,
Estágio de grupos,6,qua,2021-12-08,21:00 (17:00),RB Salzburg at,0.6,1–0,0.9,es Sevilla,,Red Bull Arena,Slavko Vinčič,Relatório da Partida,
Estágio de grupos,6,qui,2021-12-09,19:00 (15:00),Atalanta it,2.0,2–3,2.2,es Villarreal,11.690,Stadio Atleti Azzurri d'Italia,Anthony Taylor,Relatório da Partida,
,,,,,,,,,,,,,,
Oitavas de final,,ter,2022-02-15,20:00 (17:00),Sporting CP pt,0.1,0–5,2.1,eng Manchester City,48.129,Estádio José Alvalade,Srdjan Stojanovic,Relatório da Partida,Jogo de ida/volta 1 de 2
