Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
14,dom,2018-12-02,20:30 (17:30),Roma,1.6,2–2,1.9,Inter,41.009,Stadio Olimpico,Gianluca Rocchi,Relatório da Partida,
14,seg,2018-12-03,20:30 (17:30),Atalanta,1.3,1–2,1.6,Napoli,19.871,Stadio Atleti Azzurri d'Italia,Piero Giacomelli,Relatório da Partida,
,,,,,,,,,,,,,
15,sex,2018-12-07,20:30 (17:30),Juventus,1.5,1–0,1.0,Inter,41.495,Allianz Stadium,Massimiliano Irrati,Relatório da Partida,
15,sáb,2018-12-08,15:00 (12:00),Napoli,2.2,4–0,0.6,Frosinone,34.631,Stadio San Paolo,Gianluca Manganiello,Relatório da Partida,
15,sáb,2018-12-08,18:00 (15:00),Cagliari,1.8,2–2,1.8,Roma,14.938,Sardegna Arena,Paolo Mazzoleni,Relatório da Partida,
15,sáb,2018-12-08,20:30 (17:30),Lazio,4.0,2–2,0.8,Sampdoria,28.000,Stadio Olimpico,Davide Massa,Relatório da Partida,
15,dom,2018-12-09,12:30 (09:30),Sassuolo,1.0,3–3,2.2,Fiorentina,11.436,Stadio Città del Tricolore,Daniele Chiffi,Relatório da Partida,
15,dom,2018-12-09,15:00 (12:00),Udinese,1.0,1–3,2.2,Atalanta,24.413,Dacia Arena,Giampaolo Calvarese,Relatório da Partida,
15,dom,2018-12-09,15:00 (12:00),Parma,1.6,1–1,1.6,Chievo,13.994,Stadio Ennio Tardini,Federico La Penna,Relatório da Partida,
15,dom,2018-12-09,15:00 (12:00),Empoli,2.0,2–1,2.4,Bologna,8.379,Stadio Carlo Castellani,Paolo Valeri,Relatório da Partida,
15,dom,2018-12-09,18:00 (15:00),Genoa,1.0,1–1,2.0,SPAL,19.571,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,Relatório da Partida,
15,dom,2018-12-09,20:30 (17:30),Milan,1.0,0–0,1.0,Torino,44.572,Stadio Giuseppe Meazza,Daniele Orsato,Relatório da Partida,
,,,,,,,,,,,,,
16,sáb,2018-12-15,18:00 (15:00),Inter,2.2,1–0,0.3,Udinese,57.025,Stadio Giuseppe Meazza,Rosario Abisso,Relatório da Partida,
16,sáb,2018-12-15,20:30 (17:30),Torino,0.5,0–1,1.6,Juventus,26.588,Stadio Olimpico di Torino,Marco Guida,Relatório da Partida,
16,dom,2018-12-16,12:30 (09:30),SPAL,0.6,0–0,1.1,Chievo,11.882,Stadio Paolo Mazza,Luca Banti,Relatório da Partida,
16,dom,2018-12-16,15:00 (12:00),Frosinone,0.6,0–2,0.9,Sassuolo,12.000,Stadio Benito Stirpe,Eugenio Abbattista,Relatório da Partida,
16,dom,2018-12-16,15:00 (12:00),Sampdoria,1.5,2–0,0.5,Parma,19.000,Stadio Comunale Luigi Ferraris,Luca Pairetto,Relatório da Partida,
16,dom,2018-12-16,15:00 (12:00),Fiorentina,1.6,3–1,1.4,Empoli,30.000,Stadio Artemio Franchi,Piero Giacomelli,Relatório da Partida,
16,dom,2018-12-16,18:00 (15:00),Cagliari,0.6,0–1,1.0,Napoli,15.081,Sardegna Arena,Daniele Doveri,Relatório da Partida,
16,dom,2018-12-16,20:30 (17:30),Roma,1.9,3–2,2.0,Genoa,29.111,Stadio Olimpico,Marco Di Bello,Relatório da Partida,
16,seg,2018-12-17,20:30 (17:30),Atalanta,0.7,1–0,0.8,Lazio,17.401,Stadio Atleti Azzurri d'Italia,Daniele Orsato,Relatório da Partida,
16,ter,2018-12-18,20:30 (17:30),Bologna,0.4,0–0,0.6,Milan,22.214,Stadio Renato Dall'Ara,Fabio Maresca,Relatório da Partida,
,,,,,,,,,,,,,
17,sáb,2018-12-22,12:30 (09:30),Lazio,2.7,3–1,1.8,Cagliari,20.000,Stadio Olimpico,Gianluca Manganiello,Relatório da Partida,
17,sáb,2018-12-22,15:00 (12:00),Empoli,1.4,2–4,1.8,Sampdoria,8.815,Stadio Carlo Castellani,Giampaolo Calvarese,Relatório da Partida,
17,sáb,2018-12-22,15:00 (12:00),Sassuolo,2.5,1–1,0.3,Torino,11.148,Stadio Città del Tricolore,Luca Banti,Relatório da Partida,
17,sáb,2018-12-22,15:00 (12:00),Napoli,2.2,1–0,0.6,SPAL,37.093,Stadio San Paolo,Federico La Penna,Relatório da Partida,
17,sáb,2018-12-22,15:00 (12:00),Milan,0.7,0–1,0.3,Fiorentina,52.592,Stadio Giuseppe Meazza,Maurizio Mariani,Relatório da Partida,
17,sáb,2018-12-22,15:00 (12:00),Genoa,1.5,3–1,2.4,Atalanta,19.841,Stadio Comunale Luigi Ferraris,Daniele Doveri,Relatório da Partida,
