Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
95;Mattia Caldara;itITA;DF;Venezia;27;1994;30.0;9;0;0;28;22;3;2;62;28;1;1;0;170;49;51
96;Hakan Çalhanoğlu;trTUR;MF;Inter;27;1994;27.6;11;0;0;36;26;0;196;25;23;1;0;0;187;10;21
97;José Callejón;esESP;FW;Fiorentina;34;1987;14.4;0;0;0;3;17;3;62;3;6;0;1;0;72;8;18
98;Andrea Cambiaso;itITA;DF;Genoa;21;2000;19.9;5;1;1;22;16;1;66;23;20;0;0;0;144;7;17
99;Matteo Cancellieri;itITA;MF,DF;Hellas Verona;19;2002;2.5;1;0;0;9;4;1;8;1;4;0;0;0;13;4;13
100;Antonio Candreva;itITA;MF,FW;Sampdoria;34;1987;34.7;6;1;0;19;48;14;343;33;16;0;0;0;193;2;7
101;Leonardo Capezzi;itITA;MF;Salernitana;26;1995;1.9;0;0;0;3;1;0;0;0;1;0;0;0;8;1;4
102;Gianluca Caprari;itITA;MF,FW;Hellas Verona;28;1993;30.4;4;0;0;42;74;14;108;4;25;1;0;0;164;8;27
103;Francesco Caputo;itITA;FW;Sampdoria;33;1987;31.0;0;0;0;23;38;36;12;2;2;3;0;0;61;24;33
104;Francesco Caputo;itITA;FW;Sassuolo;33;1987;1.7;1;0;0;0;3;0;0;0;0;0;0;0;2;2;1
105;Andrea Carboni;itITA;DF;Cagliari;20;2001;24.6;6;0;0;18;9;0;25;27;24;0;0;1;110;41;38
106;Nicolò Casale;itITA;DF;Hellas Verona;23;1998;28.7;10;0;0;43;24;0;15;49;30;0;0;0;197;69;61
107;Francesco Cassata;itITA;MF;Genoa;24;1997;0.1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
108;Samu Castillejo;esESP;FW,MF;Milan;26;1995;1.4;1;0;0;2;2;0;8;2;2;1;0;0;5;2;2
109;Gaetano Castrovilli;itITA;MF;Fiorentina;24;1997;15.5;4;0;0;21;36;1;40;11;17;0;0;0;85;8;12
110;Danilo Cataldi;itITA;MF;Lazio;26;1994;19.0;8;0;0;18;19;0;66;17;17;0;1;0;165;6;7
111;Pietro Ceccaroni;itITA;DF;Venezia;25;1995;34.7;7;1;0;26;26;0;12;30;31;0;3;0;194;38;31
112;Federico Ceccherini;itITA;DF;Hellas Verona;29;1992;26.2;12;1;1;57;25;3;5;50;16;0;0;0;175;62;49
113;Emil Ceide;noNOR;FW,MF;Sassuolo;19;2001;0.6;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1
114;Luca Ceppitelli;itITA;DF;Cagliari;31;1989;16.1;3;0;0;18;12;1;7;25;12;0;0;0;87;40;22
115;Damir Ceter;coCOL;FW;Cagliari;23;1997;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
