Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,,
Temporada regular,9,dom,2021-10-03,15:00 (10:00),Monaco,1.8,3–0,0.3,Bordeaux,3667,Stade Louis II.,Clément Turpin,Relatório da Partida,,,
Temporada regular,9,dom,2021-10-03,15:00 (10:00),Angers,2.6,3–2,1.2,Metz,3989,Stade Raymond Kopa,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,9,dom,2021-10-03,15:00 (10:00),Nantes,1.7,2–0,1.5,Troyes,15150,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,9,dom,2021-10-03,17:00 (12:00),Lille,3.1,2–0,0.6,Marseille,44839,Stade Pierre-Mauroy,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,9,dom,2021-10-03,20:45 (15:45),Saint-Étienne,2.6,1–1,1.6,Lyon,33643,Stade Geoffroy-Guichard,François Letexier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,10,sex,2021-10-15,21:00 (16:00),Paris S-G,2.1,2–1,1.0,Angers,47646,Parc des Princes,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,10,sáb,2021-10-16,17:00 (12:00),Clermont Foot,0.3,1–0,1.1,Lille,11537,Stade Gabriel Montpied,Eric Wattellier,Relatório da Partida,,,
Temporada regular,10,sáb,2021-10-16,21:00 (16:00),Lyon,2.6,2–0,0.9,Monaco,50585,Groupama Stadium,Amaury Delerue,Relatório da Partida,,,
Temporada regular,10,dom,2021-10-17,13:00 (08:00),Troyes,0.9,1–0,0.7,Nice,7925,Stade de l'Aube,Johan Hamel,Relatório da Partida,,,
Temporada regular,10,dom,2021-10-17,15:00 (10:00),Brest,1.0,1–1,0.9,Reims,9693,Stade Francis-Le Blé,Jeremy Stinat,Relatório da Partida,,,
