Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,14,sáb,2016-11-26,20:00 (17:00),Metz,3–3,Lorient,12.657,Stade Saint-Symphorien,Mikael Lesage,Relatório da Partida,
Temporada regular,14,sáb,2016-11-26,20:00 (17:00),Nantes,0–0,Lille,18.125,Stade de la Beaujoire - Louis Fonteneau,Olivier Thual,Relatório da Partida,
Temporada regular,14,dom,2016-11-27,15:00 (12:00),Angers,1–2,Saint-Étienne,13.293,Stade Raymond Kopa,Johan Hamel,Relatório da Partida,
Temporada regular,14,dom,2016-11-27,17:00 (14:00),Nice,1–1,Bastia,20.856,Stade de Nice,Lionel Jaffredo,Relatório da Partida,
Temporada regular,14,dom,2016-11-27,20:45 (17:45),Lyon,1–2,Paris S-G,55.107,Groupama Stadium,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,15,ter,2016-11-29,19:00 (16:00),Lille,4–2,Caen,23.216,Stade Pierre-Mauroy,Saïd Ennjimi,Relatório da Partida,
Temporada regular,15,ter,2016-11-29,19:00 (16:00),Lorient,2–1,Rennes,10.082,Stade Yves Allainmat - Le Moustoir,Stéphane Lannoy,Relatório da Partida,
Temporada regular,15,ter,2016-11-29,21:00 (18:00),Dijon,1–1,Monaco,10.263,Stade Gaston Gérard,Tony Chapron,Relatório da Partida,
Temporada regular,15,qua,2016-11-30,19:00 (16:00),Nancy,4–0,Metz,19.085,Stade Marcel Picot,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,15,qua,2016-11-30,19:00 (16:00),Guingamp,0–1,Nice,14.680,Stade du Roudourou,Benoît Millot,Relatório da Partida,
Temporada regular,15,qua,2016-11-30,19:00 (16:00),Toulouse,1–0,Montpellier,13.753,Stadium Municipal,Amaury Delerue,Relatório da Partida,
Temporada regular,15,qua,2016-11-30,19:00 (16:00),Bastia,1–1,Bordeaux,11.421,Stade Armand Césari,Sébastien Desiage,Relatório da Partida,
Temporada regular,15,qua,2016-11-30,19:00 (16:00),Nantes,0–6,Lyon,18.964,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Relatório da Partida,
Temporada regular,15,qua,2016-11-30,19:00 (16:00),Saint-Étienne,0–0,Marseille,25.331,Stade Geoffroy-Guichard,Benoît Bastien,Relatório da Partida,
Temporada regular,15,qua,2016-11-30,21:00 (18:00),Paris S-G,2–0,Angers,40.597,Parc des Princes,Franck Schneider,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,16,sex,2016-12-02,20:45 (17:45),Caen,3–3,Dijon,13.243,Stade Michel d'Ornano,Sébastien Moreira,Relatório da Partida,
Temporada regular,16,sáb,2016-12-03,17:00 (14:00),Montpellier,3–0,Paris S-G,17.132,Stade de la Mosson,Bartolomeu Varela,Relatório da Partida,
Temporada regular,16,sáb,2016-12-03,20:00 (17:00),Angers,2–2,Lorient,9.142,Stade Raymond Kopa,Olivier Thual,Relatório da Partida,
Temporada regular,16,sáb,2016-12-03,20:00 (17:00),Bordeaux,0–1,Lille,19.250,Stade Matmut-Atlantique,Ruddy Buquet,Relatório da Partida,
Temporada regular,16,sáb,2016-12-03,20:00 (17:00),Monaco,5–0,Bastia,7.019,Stade Louis II.,Benoît Millot,Relatório da Partida,
Temporada regular,16,sáb,2016-12-03,20:00 (17:00),Guingamp,2–0,Nantes,12.643,Stade du Roudourou,Johan Hamel,Relatório da Partida,
Temporada regular,16,dom,2016-12-04,15:00 (12:00),Rennes,2–0,Saint-Étienne,19.618,Roazhon Park,Antony Gautier,Relatório da Partida,
Temporada regular,16,dom,2016-12-04,17:00 (14:00),Marseille,3–0,Nancy,27.854,Orange Vélodrome,François Letexier,Relatório da Partida,
Temporada regular,16,dom,2016-12-04,20:45 (17:45),Nice,3–0,Toulouse,16.835,Stade de Nice,Mikael Lesage,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,17,sáb,2016-12-10,14:30 (11:30),Dijon,1–2,Marseille,10.542,Stade Gaston Gérard,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,17,sáb,2016-12-10,17:30 (14:30),Bordeaux,0–4,Monaco,38.803,Stade Matmut-Atlantique,Benoît Bastien,Relatório da Partida,
Temporada regular,17,sáb,2016-12-10,20:00 (17:00),Bastia,2–0,Metz,9.882,Stade Armand Césari,Saïd Ennjimi,Relatório da Partida,
Temporada regular,17,sáb,2016-12-10,20:00 (17:00),Nancy,2–0,Angers,17.205,Stade Marcel Picot,Sébastien Desiage,Relatório da Partida,
Temporada regular,17,sáb,2016-12-10,20:00 (17:00),Toulouse,3–2,Lorient,14.288,Stadium Municipal,Karim Abed,Relatório da Partida,
Temporada regular,17,sáb,2016-12-10,20:00 (17:00),Lille,2–1,Montpellier,27.391,Stade Pierre-Mauroy,Tony Chapron,Relatório da Partida,
Temporada regular,17,dom,2016-12-11,15:00 (12:00),Lyon,1–0,Rennes,33.901,Groupama Stadium,Amaury Delerue,Relatório da Partida,
Temporada regular,17,dom,2016-12-11,17:00 (14:00),Saint-Étienne,1–0,Guingamp,23.862,Stade Geoffroy-Guichard,Stéphane Lannoy,Relatório da Partida,
Temporada regular,17,dom,2016-12-11,20:45 (17:45),Paris S-G,2–2,Nice,47.665,Parc des Princes,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,18,sex,2016-12-16,20:45 (17:45),Angers,0–2,Nantes,12.859,Stade Raymond Kopa,Amaury Delerue,Relatório da Partida,
Temporada regular,18,sáb,2016-12-17,17:00 (14:00),Guingamp,2–1,Paris S-G,18.033,Stade du Roudourou,Frédy Fautrel,Relatório da Partida,
Temporada regular,18,sáb,2016-12-17,20:00 (17:00),Montpellier,4–0,Bordeaux,9.841,Stade de la Mosson,Franck Schneider,Relatório da Partida,
Temporada regular,18,sáb,2016-12-17,20:00 (17:00),Rennes,1–2,Bastia,22.637,Roazhon Park,Clément Turpin,Relatório da Partida,
