Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
14,sáb,2004-11-13,,Lyon,2–0,Nantes,,Stade Municipal de Gerland,Gilles Veissière,Relatório da Partida,
14,sáb,2004-11-13,,Metz,1–2,Caen,,Stade Saint,Stéphane Moulin,Relatório da Partida,
14,sáb,2004-11-13,,Nice,1–1,Lens,,Allianz Riviera,Pascal Garibian,Relatório da Partida,
14,sáb,2004-11-13,,Bastia,0–3,Saint-Étienne,,Stade Armand Cesari,Bruno Derrien,Relatório da Partida,
14,sáb,2004-11-13,,Marseille,2–0,Strasbourg,,Orange Vélodrome,Laurent Duhamel,Relatório da Partida,
14,sáb,2004-11-13,,Auxerre,1–0,Ajaccio,,Stade Abbé Deschamps,Claude Colombo,Relatório da Partida,
14,sáb,2004-11-13,,Rennes,1–1,Toulouse,,ROAZHON PARK,Alain Sars,Relatório da Partida,
14,sáb,2004-11-13,,Bordeaux,3–0,Paris S-G,,Stade Chaban,Bertrand Layec,Relatório da Partida,
14,dom,2004-11-14,,Lille,1–1,Monaco,,Stadium Lille Métropole,Stéphane Bré,Relatório da Partida,
,,,,,,,,,,,
15,sex,2004-11-19,,Paris S-G,0–0,Lyon,,Parc des Princes,Alain Sars,Relatório da Partida,
15,sex,2004-11-19,,Monaco,1–3,Sochaux,,Stade Louis II,Pascal Viléo,Relatório da Partida,
15,sáb,2004-11-20,,Saint-Étienne,1–0,Rennes,,Stade Geoffroy,Thierry Auriac,Relatório da Partida,
15,sáb,2004-11-20,,Ajaccio,2–0,Marseille,,Stade François Coty,Philippe Kalt,Relatório da Partida,
15,sáb,2004-11-20,,Istres,0–0,Metz,,Stade des Costières,Olivier Thual,Relatório da Partida,
15,sáb,2004-11-20,,Nantes,0–1,Bordeaux,,Stade de la Beaujoire,Bruno Ruffray,Relatório da Partida,
15,sáb,2004-11-20,,Caen,0–0,Nice,,Stade Michel d'Ornano,Tony Chapron,Relatório da Partida,
15,sáb,2004-11-20,,Toulouse,1–0,Bastia,,Stadium,Philippe Malige,Relatório da Partida,
15,sáb,2004-11-20,,Strasbourg,3–1,Auxerre,,Stade de la Meinau,Bruno Derrien,Relatório da Partida,
15,sáb,2004-11-20,,Lens,1–1,Lille,,Stade Bollaert,Hervé Piccirillo,Relatório da Partida,
,,,,,,,,,,,
16,sáb,2004-11-27,,Bastia,2–0,Caen,,Stade Armand Cesari,Patrick Lhermite,Relatório da Partida,
16,sáb,2004-11-27,,Bordeaux,0–0,Ajaccio,,Stade Chaban,Stéphane Lannoy,Relatório da Partida,
16,sáb,2004-11-27,,Toulouse,0–0,Monaco,,Stadium,Pascal Garibian,Relatório da Partida,
16,sáb,2004-11-27,,Marseille,3–1,Nantes,,Orange Vélodrome,Pascal Viléo,Relatório da Partida,
16,sáb,2004-11-27,,Rennes,3–1,Istres,,ROAZHON PARK,Dominique Fraise,Relatório da Partida,
16,sáb,2004-11-27,,Lyon,2–1,Auxerre,,Stade Municipal de Gerland,Stéphane Bré,Relatório da Partida,
16,sáb,2004-11-27,,Metz,2–2,Saint-Étienne,,Stade Saint,Fredy Fautrel,Relatório da Partida,
16,dom,2004-11-28,,Nice,1–1,Paris S-G,,Allianz Riviera,Philippe Kalt,Relatório da Partida,
16,dom,2004-11-28,,Sochaux,1–2,Lens,,Stade Bonal,Tony Chapron,Relatório da Partida,
16,dom,2004-11-28,,Lille,1–1,Strasbourg,,Stadium Lille Métropole,Damien Ledentu,Relatório da Partida,
,,,,,,,,,,,
17,sex,2004-12-03,,Monaco,2–0,Rennes,,Stade Louis II,Stéphane Moulin,Relatório da Partida,
17,sáb,2004-12-04,,Nantes,0–1,Nice,,Stade de la Beaujoire,Stéphane Bré,Relatório da Partida,
17,sáb,2004-12-04,,Strasbourg,0–0,Sochaux,,Stade de la Meinau,Claude Colombo,Relatório da Partida,
17,sáb,2004-12-04,,Lens,2–0,Metz,,Stade Bollaert,Thierry Auriac,Relatório da Partida,
17,sáb,2004-12-04,,Istres,1–0,Bastia,,Stade des Costières,Bruno Ruffray,Relatório da Partida,
17,sáb,2004-12-04,,Saint-Étienne,0–0,Toulouse,,Stade Geoffroy,Bruno Coué,Relatório da Partida,
17,sáb,2004-12-04,,Ajaccio,1–1,Lyon,,Stade François Coty,Bruno Derrien,Relatório da Partida,
17,sáb,2004-12-04,,Paris S-G,1–1,Lille,,Parc des Princes,Laurent Duhamel,Relatório da Partida,
17,sáb,2004-12-04,,Caen,2–3,Marseille,,Stade Michel d'Ornano,Hervé Piccirillo,Relatório da Partida,
17,dom,2004-12-05,,Auxerre,0–0,Bordeaux,,Stade Abbé Deschamps,Alain Sars,Relatório da Partida,
,,,,,,,,,,,
18,sáb,2004-12-11,,Toulouse,2–1,Istres,,Stadium,Stéphane Lannoy,Relatório da Partida,
18,sáb,2004-12-11,,Marseille,0–1,Auxerre,,Orange Vélodrome,Bertrand Layec,Relatório da Partida,
18,sáb,2004-12-11,,Metz,1–0,Strasbourg,,Stade Saint,Pascal Viléo,Relatório da Partida,
18,sáb,2004-12-11,,Nice,3–0,Ajaccio,,Allianz Riviera,Philippe Malige,Relatório da Partida,
18,sáb,2004-12-11,,Lille,2–1,Nantes,,Stadium Lille Métropole,Patrick Lhermite,Relatório da Partida,
18,sáb,2004-12-11,,Bastia,0–2,Monaco,,Stade Armand Cesari,Philippe Kalt,Relatório da Partida,
18,sáb,2004-12-11,,Bordeaux,0–0,Lyon,,Stade Chaban,Gilles Veissière,Relatório da Partida,
18,sáb,2004-12-11,,Saint-Étienne,5–0,Caen,,Stade Geoffroy,Olivier Thual,Relatório da Partida,
18,sáb,2004-12-11,,Rennes,3–1,Lens,,ROAZHON PARK,Fredy Fautrel,Relatório da Partida,
18,dom,2004-12-12,,Sochaux,1–2,Paris S-G,,Stade Bonal,Stéphane Bré,Relatório da Partida,
,,,,,,,,,,,
