Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
26,sáb,2011-02-05,,Wolves,2–1,Manchester Utd,,,Michael Oliver,Relatório da Partida,
26,sáb,2011-02-05,,Stoke City,3–2,Sunderland,,,Lee Probert,Relatório da Partida,
26,sáb,2011-02-05,,Tottenham,2–1,Bolton,,,Mark Clattenburg,Relatório da Partida,
26,sáb,2011-02-05,,Aston Villa,2–2,Fulham,,,Lee Mason,Relatório da Partida,
26,sáb,2011-02-05,,Manchester City,3–0,West Brom,,,Martin Atkinson,Relatório da Partida,
26,sáb,2011-02-05,,Everton,5–3,Blackpool,,,Kevin Friend,Relatório da Partida,
26,dom,2011-02-06,,Chelsea,0–1,Liverpool,,,Andre Marriner,Relatório da Partida,
26,dom,2011-02-06,,West Ham,0–1,Birmingham City,,,Chris Foy,Relatório da Partida,
,,,,,,,,,,,
27,sáb,2011-02-12,,Blackburn,0–0,Newcastle Utd,,,Stuart Attwell,Relatório da Partida,
27,sáb,2011-02-12,,Arsenal,2–0,Wolves,,,Chris Foy,Relatório da Partida,
27,sáb,2011-02-12,,Blackpool,1–1,Aston Villa,,,Howard Webb,Relatório da Partida,
27,sáb,2011-02-12,,Liverpool,1–1,Wigan Athletic,,,Kevin Friend,Relatório da Partida,
27,sáb,2011-02-12,,Sunderland,1–2,Tottenham,,,Mike Jones,Relatório da Partida,
27,sáb,2011-02-12,,Birmingham City,1–0,Stoke City,,,Mark Halsey,Relatório da Partida,
27,sáb,2011-02-12,,Manchester Utd,2–1,Manchester City,,,Andre Marriner,Relatório da Partida,
27,sáb,2011-02-12,,West Brom,3–3,West Ham,,,Lee Mason,Relatório da Partida,
27,dom,2011-02-13,,Bolton,2–0,Everton,,,Lee Probert,Relatório da Partida,
27,seg,2011-02-14,,Fulham,0–0,Chelsea,,,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
18,ter,2011-02-15,,Birmingham City,0–2,Newcastle Utd,,,Lee Mason,Relatório da Partida,
18,dom,2011-02-20,,West Brom,1–1,Wolves,,,Mike Dean,Relatório da Partida,
18,ter,2011-02-22,,Blackpool,3–1,Tottenham,,,Chris Foy,Relatório da Partida,
18,qua,2011-02-23,,Arsenal,1–0,Stoke City,,,Peter Walton,Relatório da Partida,
,,,,,,,,,,,
