Name;Nationality;Pos.;Team;Age;Year;MP;MS;Min.;90s;Goals;Assis.;G-PB;PB;PT;Ycard;Rcard
Harry Wilson;wls WAL;AT;Fulham;25-288;1997;9;3;303;3.4;0;0;0;0;0;0;0
Yoane Wissa;cd COD;AT;Brentford;26-123;1996;18;7;757;8.4;4;1;4;0;0;1;0
Chris Wood;nz NZL;AT;Newcastle Utd;31-028;1991;17;4;445;4.9;2;0;1;1;1;0;0
Joe Worrall;eng ENG;ZG;Nott'ham Forest;25-359;1997;13;9;897;10.0;0;0;0;0;0;4;0
Granit Xhaka;ch SUI;LT;Arsenal;30-099;1992;17;17;1436;16.0;3;4;3;0;0;3;0
Ryan Yates;eng ENG;LT;Nott'ham Forest;25-044;1997;15;13;1213;13.5;0;1;0;0;0;4;0
Ashley Young;eng ENG;ZG;Aston Villa;37-179;1985;13;9;909;10.1;1;0;1;0;0;3;0
Wilfried Zaha;ci CIV;AT,LT;Crystal Palace;30-055;1992;15;15;1327;14.7;6;2;6;0;2;3;0
Denis Zakaria;ch SUI;LT;Chelsea;26-045;1996;2;2;141;1.6;0;0;0;0;0;0;0
Jordan Zemura;zw ZIM;ZG;Bournemouth;23-051;1999;13;11;947;10.5;0;1;0;0;0;1;0
Oleksandr Zinchenko;ua UKR;ZG;Arsenal;26-020;1996;10;9;726;8.1;0;1;0;0;0;1;0
Hakim Ziyech;ma MAR;LT,AT;Chelsea;29-291;1993;6;1;171;1.9;0;0;0;0;0;0;0
Kurt Zouma;fr FRA;ZG;West Ham;28-069;1994;14;14;1184;13.2;1;0;1;0;0;0;0
Martin Ã˜degaard;no NOR;LT;Arsenal;24-018;1998;16;16;1340;14.9;7;5;7;0;0;3;0
